,id,name,position,predicted_total_points,cost,team
0,60,Watkins,FWD,10.461448,88,2
2,757,Bradley,DEF,9.725288,43,11
3,288,Wilson,MID,9.6717005,53,10
4,511,Romero,DEF,9.571576,52,18
5,689,Kudus,MID,8.706692,68,19
7,516,Son,MID,8.471805,101,18
9,114,Roerslev,DEF,7.920015,44,4
13,279,Muniz,FWD,7.4531827,47,10
14,66,L.Cook,MID,7.1217394,50,3
15,82,Semenyo,FWD,7.075914,45,3
16,412,Gordon,MID,6.8846774,60,15
17,77,Neto,GK,6.6734366,47,3
18,203,Gusto,DEF,6.596007,43,7
19,450,Johnson,MID,6.56632,58,18
20,415,Isak,FWD,6.560874,79,15
21,6,Havertz,MID,6.415457,73,1
22,355,Haaland,FWD,6.3842697,143,13
23,365,Rodrigo,MID,6.360441,56,13
24,308,Salah,MID,6.3427844,134,11
25,34,Bailey,MID,6.1522717,56,2
26,611,Disasi,DEF,6.102076,49,7
27,465,Toffolo,DEF,6.081119,44,16
28,362,Palmer,MID,5.9247274,60,7
29,540,Rice,MID,5.853067,55,1
30,526,Bowen,MID,5.812387,79,19
31,12,Martinelli,MID,5.7011228,76,1
32,313,Virgil,DEF,5.682706,66,11
33,19,Saka,MID,5.6161065,89,1
34,283,Robinson,DEF,5.5052443,46,10
35,407,Burn,DEF,5.4512763,45,15
36,42,Digne,DEF,5.263406,46,2
38,20,Saliba,DEF,5.235873,58,1
39,236,Olise,MID,5.108932,56,8
40,119,Wissa,FWD,5.0702357,57,4
41,340,Woodrow,FWD,5.0688734,43,12
42,409,Dubravka,GK,5.041953,42,15
43,599,Diaby,MID,5.007888,63,2
44,226,Eze,MID,5.0048294,60,8
45,504,Maddison,MID,4.921018,79,18
46,501,Kulusevski,MID,4.8953094,68,18
47,250,Garner,MID,4.8796644,49,9
48,396,Rashford,MID,4.8712673,84,14
49,154,Welbeck,FWD,4.8578095,57,5
50,321,Doughty,DEF,4.833228,46,12
51,344,Bernardo,MID,4.805887,62,13
55,265,Tarkowski,DEF,4.540438,46,9
56,544,Zouma,DEF,4.5201626,45,19
57,373,B.Fernandes,MID,4.508531,82,14
59,8,G.Jesus,FWD,4.3584785,77,1
60,286,Tosin,DEF,4.3302426,43,10
63,311,Tsimikas,DEF,4.179353,44,11
65,610,Bassey,DEF,4.046056,44,10
66,304,Mac Allister,MID,3.973556,59,11
67,43,Douglas Luiz,MID,3.9450896,56,2
68,485,McBurnie,FWD,3.9145763,54,17
70,113,Raya,GK,3.8575745,51,1
71,586,Chong,MID,3.8491597,47,12
72,221,J.Ayew,MID,3.816505,54,8
73,298,Gomez,DEF,3.8094857,46,11
74,33,Archer,FWD,3.7529593,42,17
75,29,White,DEF,3.689454,59,1
76,86,Tavernier,MID,3.6688352,52,3
78,208,Madueke,MID,3.6551952,53,7
79,245,Branthwaite,DEF,3.6212952,43,9
80,211,N.Jackson,FWD,3.493619,68,7
81,638,Vini Souza,MID,3.4247344,50,17
85,691,Beto,FWD,3.372353,57,9
86,50,McGinn,MID,3.3718507,53,2
87,595,Kerkez,DEF,3.3440948,44,3
88,85,Solanke,FWD,3.2489984,73,3
90,101,Flekken,GK,3.1076975,46,4
91,83,Senesi,DEF,3.0826423,44,3
93,570,Sarabia,MID,2.9806662,47,20
94,75,Mepham,DEF,2.9675303,43,3
96,182,Vitinho,DEF,2.9029353,44,6
97,267,Andreas,MID,2.894202,53,10
98,84,Smith,DEF,2.8682117,44,3
99,122,Adingra,MID,2.8667104,50,5
100,630,Barkley,MID,2.86524,48,12
101,639,Van de Ven,DEF,2.8652146,44,18
102,234,Mitchell,DEF,2.8645194,45,8
103,565,Mario Jr.,MID,2.8615246,49,20
105,202,Gallagher,MID,2.8008084,54,7
106,318,Burke,DEF,2.782456,40,12
107,591,Willian,MID,2.7511775,53,10
108,696,Murillo,DEF,2.7500343,45,16
109,506,Pedro Porro,DEF,2.743038,59,18
110,178,Taylor,DEF,2.6948137,39,6
111,352,Ederson M.,GK,2.660471,55,13
112,387,Maguire,DEF,2.6532922,42,14
114,663,Hamer,MID,2.6154497,49,17
115,205,Hudson-Odoi,MID,2.6147664,47,16
117,522,N.Aguerd,DEF,2.593765,44,19
120,378,Elanga,MID,2.568579,51,16
122,217,T.Silva,DEF,2.5520973,50,7
123,216,Sterling,MID,2.4970715,69,7
126,392,McTominay,MID,2.403513,46,14
131,246,Calvert-Lewin,FWD,2.2695844,58,9
132,519,Udogie,DEF,2.2284777,50,18
135,297,Gakpo,FWD,2.185773,71,11
137,225,Edouard,FWD,2.1785061,53,8
138,493,Bissouma,MID,2.1754186,50,18
139,111,Onyeka,MID,2.1292877,49,4
140,470,Yates,MID,2.127221,48,16
141,539,L.Paquetá,MID,2.1009622,60,19
142,256,Iwobi,MID,2.0975375,53,10
144,532,Emerson,DEF,2.0231447,44,19
146,588,Young,DEF,1.997036,44,9
147,700,Ansu Fati,MID,1.9879363,64,5
148,106,Jensen,MID,1.973642,53,4
150,260,Mykolenko,DEF,1.941434,46,9
153,714,Origi,FWD,1.871705,50,16
154,421,Longstaff,MID,1.8316618,48,15
155,210,Mudryk,MID,1.8134464,63,7
157,65,Christie,MID,1.7557714,50,3
159,263,Pickford,GK,1.7331387,46,9
161,200,D.D.Fofana,FWD,1.7105424,50,6
162,117,Toney,FWD,1.7095543,81,4
164,32,Alex Moreno,DEF,1.6980392,51,2
165,258,Maupay,FWD,1.6914805,49,4
167,368,Stones,DEF,1.6759374,53,13
168,341,Akanji,DEF,1.6599708,49,13
169,96,Collins,DEF,1.626756,45,4
171,790,Grbić,GK,1.5928671,45,17
174,447,Gibbs-White,MID,1.5723512,57,16
175,309,Szoboszlai,MID,1.5211275,71,11
177,195,Chilwell,DEF,1.4428699,54,7
178,489,Osborn,MID,1.4250414,48,17
179,805,Assignon,DEF,1.4066478,40,6
180,401,Wan-Bissaka,DEF,1.4042038,44,14
181,388,Mainoo,MID,1.3917038,44,14
182,48,Konsa,DEF,1.3721719,45,2
184,125,Buonanotte,MID,1.3273028,47,5
185,603,Barnes,MID,1.3238211,62,15
187,161,Brownhill,MID,1.3041973,47,6
188,432,Willock,MID,1.2825106,53,15
