id,name,position,predicted_total_points
757,Conor Bradley,DEF,9.725288
511,Cristian Romero,DEF,9.571576
114,Mads Roerslev Rasmussen,DEF,7.920015
203,Malo Gusto,DEF,6.596007
611,Axel Disasi,DEF,6.102076
465,Harry Toffolo,DEF,6.081119
313,Virgil van Dijk,DEF,5.682706
283,Antonee Robinson,DEF,5.5052443
407,Dan Burn,DEF,5.4512763
42,Lucas Digne,DEF,5.263406
20,William Saliba,DEF,5.235873
321,Alfie Doughty,DEF,4.833228
10,Jakub Kiwior,DEF,4.7953367
265,James Tarkowski,DEF,4.540438
544,Kurt Zouma,DEF,4.5201626
286,Tosin Adarabioyo,DEF,4.3302426
173,Dara O'Shea,DEF,4.3133583
633,Tino Livramento,DEF,4.2981796
311,Konstantinos Tsimikas,DEF,4.179353
405,Sven Botman,DEF,4.1309447
610,Calvin Bassey,DEF,4.046056
688,Timothy Castagne,DEF,3.8582141
298,Joe Gomez,DEF,3.8094857
29,Benjamin White,DEF,3.689454
89,Illia Zabarnyi,DEF,3.6652875
245,Jarrad Branthwaite,DEF,3.6212952
595,Milos Kerkez,DEF,3.3440948
83,Marcos Senesi,DEF,3.0826423
563,Max Kilman,DEF,3.0530996
75,Chris Mepham,DEF,2.9675303
369,Kyle Walker,DEF,2.9662445
182,Victor da Silva,DEF,2.9029353
84,Adam Smith,DEF,2.8682117
639,Micky van de Ven,DEF,2.8652146
234,Tyrick Mitchell,DEF,2.8645194
220,Joachim Andersen,DEF,2.8294492
318,Reece Burke,DEF,2.782456
696,Murillo Santiago Costa dos Santos,DEF,2.7500343
506,Pedro Porro,DEF,2.743038
178,Charlie Taylor,DEF,2.6948137
387,Harry Maguire,DEF,2.6532922
467,Neco Williams,DEF,2.6344798
316,Amari'i Bell,DEF,2.599118
522,Nayef Aguerd,DEF,2.593765
217,Thiago Emiliano da Silva,DEF,2.5520973
150,Jan Paul van Hecke,DEF,2.476502
519,Destiny Udogie,DEF,2.2284777
551,Craig Dawson,DEF,2.1807811
532,Emerson Palmieri dos Santos,DEF,2.0231447
588,Ashley Young,DEF,1.997036
260,Vitalii Mykolenko,DEF,1.941434
197,Levi Colwill,DEF,1.7164258
32,Alexandre Moreno Lopera,DEF,1.6980392
368,John Stones,DEF,1.6759374
341,Manuel Akanji,DEF,1.6599708
96,Nathan Collins,DEF,1.626756
36,Matty Cash,DEF,1.5774634
806,Maxime Esteve,DEF,1.499723
195,Ben Chilwell,DEF,1.4428699
805,Lorenz Assignon,DEF,1.4066478
401,Aaron Wan-Bissaka,DEF,1.4042038
48,Ezri Konsa Ngoyo,DEF,1.3721719
194,Trevoh Chalobah,DEF,1.1706154
41,Diego Carlos Santos Silva,DEF,1.1312848
703,Jonny Evans,DEF,1.1017002
129,Lewis Dunk,DEF,1.0894529
377,Diogo Dalot Teixeira,DEF,1.0880699
290,Trent Alexander-Arnold,DEF,1.0531782
497,Emerson Leite de Souza Junior,DEF,1.0009258
679,Gonzalo Montiel,DEF,0.9671755
112,Ethan Pinnock,DEF,0.9639961
584,Pau Torres,DEF,0.92855436
90,Kristoffer Ajer,DEF,0.918089
393,Teden Mengi,DEF,0.9014148
330,Gabriel Osho,DEF,0.8817006
711,Andrew Omobamidele,DEF,0.8815464
358,Rico Lewis,DEF,0.8779044
271,Issa Diop,DEF,0.82658833
252,Ben Godfrey,DEF,0.81206256
238,Chris Richards,DEF,0.8019197
798,Daiki Hashioka,DEF,0.7838337
606,Igor Julio dos Santos de Paulo,DEF,0.7714895
285,Kenny Tete,DEF,0.77076477
242,Joel Ward,DEF,0.7632352
153,Adam Webster,DEF,0.75908244
109,Ben Mee,DEF,0.6556888
676,Konstantinos Mavropanos,DEF,0.64475024
157,Ameen Al-Dakhil,DEF,0.6434735
436,Serge Aurier,DEF,0.6406087
777,Radu Dragusin,DEF,0.6405832
315,Mads Juel Andersen,DEF,0.63583404
206,Reece James,DEF,0.62597716
398,Luke Shaw,DEF,0.62050945
430,Kieran Trippier,DEF,0.60891026
576,Jack Robinson,DEF,0.59973025
473,George Baldock,DEF,0.569905
307,Andrew Robertson,DEF,0.55190265
70,Lloyd Kelly,DEF,0.53734714
643,Max Aarons,DEF,0.49632096
604,Olu Aina,DEF,0.49539208
139,Tariq Lamptey,DEF,0.44080627
281,Tim Ream,DEF,0.43322307
674,Hannes Delcroix,DEF,0.38123208
176,Connor Roberts,DEF,0.38078734
121,Mathias Jorgensen,DEF,0.3708043
222,Nathaniel Clyne,DEF,0.33613905
419,Jamaal Lascelles,DEF,0.31915265
160,Jordan Beyer,DEF,0.31724265
592,Yasser Larouci,DEF,0.3006412
305,Joel Matip,DEF,0.2497731
693,Luke Thomas,DEF,0.18638396
455,Scott McKenna,DEF,0.17525353
766,Willy Kambwala,DEF,0.1335818
484,Max Lowe,DEF,0.09279834
480,John Egan,DEF,0.08189948
474,Chris Basham,DEF,0.0012676503
104,Aaron Hickey,DEF,-0.075979434
27,Auston Trusty,DEF,-0.09831733
575,Tom Lockyer,DEF,-0.20515898
31,Oleksandr Zinchenko,DEF,-0.3457532
445,Felipe Augusto de Almeida Monteiro,DEF,-0.49508512
476,Jayden Bogle,DEF,-0.70658135
