id,name,position,predicted_total_points
60,Ollie Watkins,FWD,10.461448
776,Timo Werner,FWD,7.600343
279,Rodrigo Muniz Carvalho,FWD,7.4531827
82,Antoine Semenyo,FWD,7.075914
415,Alexander Isak,FWD,6.560874
355,Erling Haaland,FWD,6.3842697
390,Anthony Martial,FWD,5.252918
119,Yoane Wissa,FWD,5.0702357
340,Cauley Woodrow,FWD,5.0688734
154,Danny Welbeck,FWD,4.8578095
326,Carlton Morris,FWD,4.4235873
8,Gabriel Fernando de Jesus,FWD,4.3584785
485,Oliver McBurnie,FWD,3.9145763
33,Cameron Archer,FWD,3.7529593
211,Nicolas Jackson,FWD,3.493619
594,Zeki Amdouni,FWD,3.4122872
691,Norberto Bercique Gomes Betuncal,FWD,3.372353
85,Dominic Solanke,FWD,3.2489984
328,Chiedozie Ogbene,FWD,2.424407
437,Taiwo Awoniyi,FWD,2.327415
232,Jean-Philippe Mateta,FWD,2.3232782
433,Callum Wilson,FWD,2.3132057
246,Dominic Calvert-Lewin,FWD,2.2695844
297,Cody Gakpo,FWD,2.185773
225,Odsonne Edouard,FWD,2.1785061
714,Divock Origi,FWD,1.871705
314,Elijah Adebayo,FWD,1.7394327
200,David Datro Fofana,FWD,1.7105424
117,Ivan Toney,FWD,1.7095543
132,Evan Ferguson,FWD,1.7054
258,Neal Maupay,FWD,1.6914805
631,Jacob Brown,FWD,1.1252224
590,Matheus Santos Carneiro Da Cunha,FWD,0.9540248
490,William Osula,FWD,0.7666499
468,Chris Wood,FWD,0.68225163
212,Christopher Nkunku,FWD,0.62610257
523,Michail Antonio,FWD,0.57975847
193,Armando Broja,FWD,0.43139452
168,Lyle Foster,FWD,0.4178409
