id,name,position,predicted_goals_scored
60,Ollie Watkins,FWD,1.2914306
355,Erling Haaland,FWD,1.2775776
85,Dominic Solanke,FWD,1.1871313
211,Nicolas Jackson,FWD,0.9165908
415,Alexander Isak,FWD,0.8981528
8,Gabriel Fernando de Jesus,FWD,0.6599565
326,Carlton Morris,FWD,0.64248085
390,Anthony Martial,FWD,0.58598185
154,Danny Welbeck,FWD,0.5119039
594,Zeki Amdouni,FWD,0.47459486
340,Cauley Woodrow,FWD,0.40975156
776,Timo Werner,FWD,0.36875898
437,Taiwo Awoniyi,FWD,0.36868796
279,Rodrigo Muniz Carvalho,FWD,0.3617349
485,Oliver McBurnie,FWD,0.34956336
82,Antoine Semenyo,FWD,0.32888505
119,Yoane Wissa,FWD,0.3111983
433,Callum Wilson,FWD,0.28152618
691,Norberto Bercique Gomes Betuncal,FWD,0.2621565
225,Odsonne Edouard,FWD,0.2429171
33,Cameron Archer,FWD,0.2027485
297,Cody Gakpo,FWD,0.1285603
590,Matheus Santos Carneiro Da Cunha,FWD,0.066789255
246,Dominic Calvert-Lewin,FWD,0.065690294
314,Elijah Adebayo,FWD,0.048657194
117,Ivan Toney,FWD,0.048492115
200,David Datro Fofana,FWD,0.029808005
132,Evan Ferguson,FWD,0.02782257
468,Chris Wood,FWD,0.02009483
490,William Osula,FWD,0.019599557
258,Neal Maupay,FWD,0.019238427
328,Chiedozie Ogbene,FWD,0.016152404
212,Christopher Nkunku,FWD,0.01475603
193,Armando Broja,FWD,0.011078128
232,Jean-Philippe Mateta,FWD,0.0063293907
631,Jacob Brown,FWD,0.00077106874
714,Divock Origi,FWD,4.4330573e-06
168,Lyle Foster,FWD,-0.0059994454
523,Michail Antonio,FWD,-0.017670227
