id,name,position,predicted_total_points
288,Harry Wilson,MID,9.6717005
689,Mohammed Kudus,MID,8.706692
516,Son Heung-min,MID,8.471805
353,Phil Foden,MID,8.285628
475,Sander Berge,MID,7.6510396
66,Lewis Cook,MID,7.1217394
412,Anthony Gordon,MID,6.8846774
450,Brennan Johnson,MID,6.56632
6,Kai Havertz,MID,6.415457
365,Rodrigo Hernandez,MID,6.360441
308,Mohamed Salah,MID,6.3427844
34,Leon Bailey,MID,6.1522717
362,Cole Palmer,MID,5.9247274
540,Declan Rice,MID,5.853067
526,Jarrod Bowen,MID,5.812387
12,Gabriel Martinelli Silva,MID,5.7011228
19,Bukayo Saka,MID,5.6161065
236,Michael Olise,MID,5.108932
599,Moussa Diaby,MID,5.007888
226,Eberechi Eze,MID,5.0048294
504,James Maddison,MID,4.921018
501,Dejan Kulusevski,MID,4.8953094
250,James Garner,MID,4.8796644
396,Marcus Rashford,MID,4.8712673
344,Bernardo Veiga de Carvalho e Silva,MID,4.805887
567,Pedro Lomba Neto,MID,4.7757387
664,James Ward-Prowse,MID,4.629779
373,Bruno Borges Fernandes,MID,4.508531
304,Alexis Mac Allister,MID,3.973556
43,Douglas Luiz Soares de Paulo,MID,3.9450896
586,Tahith Chong,MID,3.8491597
221,Jordan Ayew,MID,3.816505
86,Marcus Tavernier,MID,3.6688352
208,Noni Madueke,MID,3.6551952
638,Vini de Souza Costa,MID,3.4247344
72,Justin Kluivert,MID,3.3989303
270,Bobby De Cordova-Reid,MID,3.3920357
50,John McGinn,MID,3.3718507
570,Pablo Sarabia,MID,2.9806662
267,Andreas Hoelgebaum Pereira,MID,2.894202
122,Simon Adingra,MID,2.8667104
630,Ross Barkley,MID,2.86524
565,Mario Lemina,MID,2.8615246
202,Conor Gallagher,MID,2.8008084
591,Willian Borges da Silva,MID,2.7511775
663,Gustavo Hamer,MID,2.6154497
205,Callum Hudson-Odoi,MID,2.6147664
295,Harvey Elliott,MID,2.5852153
378,Anthony Elanga,MID,2.568579
382,Alejandro Garnacho,MID,2.565987
216,Raheem Sterling,MID,2.4970715
392,Scott McTominay,MID,2.403513
133,Billy Gilmour,MID,2.3233933
294,Diogo Teixeira da Silva,MID,2.220372
493,Yves Bissouma,MID,2.1754186
111,Frank Onyeka,MID,2.1292877
470,Ryan Yates,MID,2.127221
539,Lucas Tolentino Coelho de Lima,MID,2.1009622
256,Alex Iwobi,MID,2.0975375
635,Lewis Miley,MID,2.0482461
660,Wilson Odobert,MID,2.0188844
700,Anssumane Fati Vieira,MID,1.9879363
106,Mathias Jensen,MID,1.973642
807,Adam Wharton,MID,1.9635534
421,Sean Longstaff,MID,1.8316618
210,Mykhailo Mudryk,MID,1.8134464
143,Kaoru Mitoma,MID,1.7646915
65,Ryan Christie,MID,1.7557714
608,Jacob Bruun Larsen,MID,1.6767309
447,Morgan Gibbs-White,MID,1.5723512
309,Dominik Szoboszlai,MID,1.5211275
489,Ben Osborn,MID,1.4250414
388,Kobbie Mainoo,MID,1.3917038
105,Vitaly Janelt,MID,1.3464859
125,Facundo Buonanotte,MID,1.3273028
603,Harvey Barnes,MID,1.3238211
727,Andros Townsend,MID,1.3209815
161,Josh Brownhill,MID,1.3041973
432,Joe Willock,MID,1.2825106
26,Leandro Trossard,MID,1.2246869
