id,name,position,predicted_goals_scored
516,Son Heung-min,MID,1.1988275
353,Phil Foden,MID,0.8293291
540,Declan Rice,MID,0.7478455
288,Harry Wilson,MID,0.71707416
208,Noni Madueke,MID,0.67779
396,Marcus Rashford,MID,0.6399206
226,Eberechi Eze,MID,0.6375465
12,Gabriel Martinelli Silva,MID,0.61887866
6,Kai Havertz,MID,0.5948251
72,Justin Kluivert,MID,0.5108883
412,Anthony Gordon,MID,0.5098594
236,Michael Olise,MID,0.48623896
689,Mohammed Kudus,MID,0.483663
586,Tahith Chong,MID,0.48289633
700,Anssumane Fati Vieira,MID,0.44453475
567,Pedro Lomba Neto,MID,0.41536903
630,Ross Barkley,MID,0.4128286
308,Mohamed Salah,MID,0.35570756
621,Jack Hinshelwood,MID,0.34803548
601,Arnaut Danjuma Groeneveld,MID,0.34655753
294,Diogo Teixeira da Silva,MID,0.3084123
122,Simon Adingra,MID,0.25061736
65,Ryan Christie,MID,0.24956515
392,Scott McTominay,MID,0.24622998
43,Douglas Luiz Soares de Paulo,MID,0.22508915
608,Jacob Bruun Larsen,MID,0.22139847
26,Leandro Trossard,MID,0.21136235
221,Jordan Ayew,MID,0.20833254
295,Harvey Elliott,MID,0.20711291
475,Sander Berge,MID,0.20447049
501,Dejan Kulusevski,MID,0.20336013
599,Moussa Diaby,MID,0.20240048
143,Kaoru Mitoma,MID,0.20057535
504,James Maddison,MID,0.19645557
362,Cole Palmer,MID,0.19139668
50,John McGinn,MID,0.18434179
557,Hwang Hee-chan,MID,0.1792934
34,Leon Bailey,MID,0.17616946
86,Marcus Tavernier,MID,0.17362624
344,Bernardo Veiga de Carvalho e Silva,MID,0.17266218
664,James Ward-Prowse,MID,0.16930896
527,Maxwel Cornet,MID,0.16868281
205,Callum Hudson-Odoi,MID,0.16223168
106,Mathias Jensen,MID,0.15220526
605,Luca Koleosho,MID,0.14845821
66,Lewis Cook,MID,0.14324157
644,Alex Scott,MID,0.14154594
161,Josh Brownhill,MID,0.13983332
133,Billy Gilmour,MID,0.13690253
638,Vini de Souza Costa,MID,0.13342357
270,Bobby De Cordova-Reid,MID,0.1291576
250,James Garner,MID,0.1162585
140,Solly March,MID,0.11478886
526,Jarrod Bowen,MID,0.10409977
19,Bukayo Saka,MID,0.10273891
216,Raheem Sterling,MID,0.0975635
63,Philip Billing,MID,0.09719602
