,total_points,goals_scoredALL,assistsALL,total_pointsALL,minutesALL,goals_concededALL,creativityALL,influenceALL,threatALL,bonusALL,bpsALL,ict_indexALL,clean_sheetsALL,red_cardsALL,yellow_cardsALL,now_costALL,GW,opponent_strength_overall,opponent_strength_attack,opponent_strength_defence,AV_assists_past5,AV_bonus_past5,AV_bps_past5,AV_clean_sheets_past5,AV_creativity_past5,AV_goals_conceded_past5,AV_goals_scored_past5,AV_ict_index_past5,AV_influence_past5,AV_minutes_past5,AV_threat_past5,AV_total_points_past5,AV_value_past5,team_strength_rank,opponent_strength_rank
28,2,0,0,5,240,6,63.6,33.4,0,0,41,9.7,0,0,1,42,10,1100,1125,1080,0.0,0.0,18.0,0.0,20.8,1.0,0.0,3.1,10.0,84.0,0.0,2.0,42.0,10,15
29,0,0,0,5,240,6,63.6,33.4,0,0,41,9.7,0,0,1,42,7,1040,1020,1060,0.0,0.0,9.0,0.0,10.4,0.5,0.0,1.55,5.0,42.0,0.0,1.0,42.5,10,20
30,0,0,0,5,240,6,63.6,33.4,0,0,41,9.7,0,0,1,42,4,1055,1020,1090,0.0,0.0,6.0,0.0,6.93,0.33,0.0,1.03,3.33,28.0,0.0,0.67,43.0,10,18
31,0,0,0,5,240,6,63.6,33.4,0,0,41,9.7,0,0,1,42,20,1210,1180,1240,0.0,0.0,4.5,0.0,5.2,0.25,0.0,0.78,2.5,21.0,0.0,0.5,42.75,10,9
32,0,0,0,5,240,6,63.6,33.4,0,0,41,9.7,0,0,1,42,25,1065,1050,1080,0.0,0.0,3.6,0.0,4.16,0.2,0.0,0.62,2.0,16.8,0.0,0.4,42.6,10,17
33,0,0,0,5,240,6,63.6,33.4,0,0,41,9.7,0,0,1,42,18,1220,1210,1230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.6,10,7
34,0,0,0,5,240,6,63.6,33.4,0,0,41,9.7,0,0,1,42,13,1045,1050,1040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.4,10,19
35,0,0,0,5,240,6,63.6,33.4,0,0,41,9.7,0,0,1,42,8,1280,1210,1355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,10,6
36,0,0,0,5,240,6,63.6,33.4,0,0,41,9.7,0,0,1,42,1,1100,1055,1145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.6,10,12
37,0,0,0,5,240,6,63.6,33.4,0,0,41,9.7,0,0,1,42,5,1365,1360,1370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,10,1
