,total_points,value,goals_scoredALL,assistsALL,total_pointsALL,minutesALL,goals_concededALL,creativityALL,influenceALL,threatALL,bonusALL,bpsALL,ict_indexALL,red_cardsALL,yellow_cardsALL,now_costALL,GW,opponent_strength_overall,opponent_strength_attack,opponent_strength_defence,AV_assists_past5,AV_bonus_past5,AV_bps_past5,AV_creativity_past5,AV_goals_conceded_past5,AV_goals_scored_past5,AV_ict_index_past5,AV_influence_past5,AV_minutes_past5,AV_threat_past5,AV_total_points_past5,AV_value_past5,team_strength_rank,opponent_strength_rank
619,13,75,14,1,110,1490,31,207.8,555.2,653,14,425,141.4,0,1,77,1,1285,1220,1350,0.0,1.5,25.5,1.35,0.5,1.0,6.6,34.2,33.5,30.5,6.5,76.0,6,4
620,2,76,14,1,110,1490,31,207.8,555.2,653,14,425,141.4,0,1,77,2,1355,1350,1360,0.0,1.0,19.33,1.5,0.67,0.67,4.53,23.0,44.0,21.0,5.0,76.0,6,1
621,6,75,14,1,110,1490,31,207.8,555.2,653,14,425,141.4,0,1,77,28,1125,1080,1170,0.0,0.75,21.0,4.25,1.25,0.75,5.0,25.65,55.5,20.25,5.25,75.75,6,8
622,0,74,14,1,110,1490,31,207.8,555.2,653,14,425,141.4,0,1,77,11,1365,1370,1360,0.0,0.6,16.8,3.4,1.0,0.6,4.0,20.52,44.4,16.2,4.2,75.4,6,2
623,0,76,14,1,110,1490,31,207.8,555.2,653,14,425,141.4,0,1,77,17,1175,1180,1170,0.0,0.6,16.8,3.4,1.0,0.6,4.0,20.52,44.4,16.2,4.2,75.2,6,11
624,2,75,14,1,110,1490,31,207.8,555.2,653,14,425,141.4,0,1,77,26,1350,1370,1330,0.0,0.0,7.6,2.98,1.2,0.2,1.52,6.84,43.6,5.6,2.0,75.2,6,2
625,6,76,14,1,110,1490,31,207.8,555.2,653,14,425,141.4,0,1,77,20,1240,1210,1270,0.0,0.0,12.0,5.36,1.8,0.4,2.86,14.44,48.6,9.0,2.8,75.2,6,3
626,0,75,14,1,110,1490,31,207.8,555.2,653,14,425,141.4,0,1,77,10,1100,1085,1115,0.0,0.0,6.8,2.86,1.2,0.2,1.58,7.72,30.6,5.4,1.6,75.2,6,14
627,0,75,14,1,110,1490,31,207.8,555.2,653,14,425,141.4,0,1,77,25,1100,1130,1075,0.0,0.0,6.8,2.86,1.2,0.2,1.58,7.72,30.6,5.4,1.6,75.4,6,12
628,2,75,14,1,110,1490,31,207.8,555.2,653,14,425,141.4,0,1,77,15,1095,1125,1065,0.0,0.0,7.0,5.32,1.8,0.2,2.1,7.72,48.6,8.2,2.0,75.2,6,15
629,2,75,14,1,110,1490,31,207.8,555.2,653,14,425,141.4,0,1,77,14,1220,1210,1230,0.0,0.0,8.2,9.22,1.4,0.2,2.8,8.52,54.0,10.4,2.0,75.2,6,7
630,1,76,14,1,110,1490,31,207.8,555.2,653,14,425,141.4,0,1,77,18,1055,1020,1090,0.0,0.0,3.2,9.24,0.6,0.0,1.86,2.52,46.4,7.0,1.0,75.2,6,18
631,5,76,14,1,110,1490,31,207.8,555.2,653,14,425,141.4,0,1,77,6,1030,1045,1020,0.0,0.0,8.6,9.4,0.6,0.2,3.12,9.88,50.4,12.0,2.0,75.4,6,20
632,8,74,14,1,110,1490,31,207.8,555.2,653,14,425,141.4,0,1,77,13,1190,1150,1230,0.0,0.4,13.6,9.76,0.8,0.4,4.14,16.0,66.4,15.8,3.6,75.2,6,8
633,1,76,14,1,110,1490,31,207.8,555.2,653,14,425,141.4,0,1,77,22,1160,1140,1180,0.0,0.4,14.0,9.44,0.2,0.4,4.0,16.04,56.8,14.6,3.4,75.4,6,4
634,7,76,14,1,110,1490,31,207.8,555.2,653,14,425,141.4,0,1,77,19,1100,1125,1080,0.0,0.6,17.8,12.38,0.8,0.6,7.0,26.52,56.8,31.2,4.4,75.6,6,17
635,1,75,14,1,110,1490,31,207.8,555.2,653,14,425,141.4,0,1,77,9,1100,1120,1085,0.0,0.6,17.6,11.68,0.8,0.6,6.78,25.32,50.4,30.8,4.4,75.4,6,16
636,6,76,14,1,110,1490,31,207.8,555.2,653,14,425,141.4,0,1,77,21,1365,1360,1370,0.0,0.6,16.8,11.88,1.4,0.6,7.8,26.16,64.4,40.0,4.6,75.4,6,1
637,2,76,14,1,110,1490,31,207.8,555.2,653,14,425,141.4,0,1,77,16,1170,1110,1230,0.0,0.2,12.4,11.78,1.8,0.4,6.94,20.04,61.0,37.6,3.4,75.8,6,5
638,0,74,14,1,110,1490,31,207.8,555.2,653,14,425,141.4,0,1,77,12,1100,1055,1145,0.0,0.2,11.8,9.64,1.8,0.4,6.56,20.0,52.6,36.0,3.2,75.4,6,12
639,6,76,14,1,110,1490,31,207.8,555.2,653,14,425,141.4,0,1,77,7,1050,1050,1050,0.0,0.0,10.2,7.64,1.2,0.4,5.5,17.24,52.6,30.2,3.0,75.4,6,19
640,0,76,14,1,110,1490,31,207.8,555.2,653,14,425,141.4,0,1,77,23,1090,1060,1120,0.0,0.0,9.6,5.58,1.2,0.4,5.24,16.72,48.6,30.2,2.8,75.6,6,18
641,13,75,14,1,110,1490,31,207.8,555.2,653,14,425,141.4,0,1,77,8,1100,1055,1150,0.0,0.6,15.2,5.88,0.8,0.6,5.88,21.88,47.6,31.2,4.2,75.4,6,10
642,2,77,14,1,110,1490,31,207.8,555.2,653,14,425,141.4,0,1,77,3,1370,1350,1390,0.0,0.6,15.6,7.78,0.2,0.6,6.38,22.52,49.2,33.6,4.2,75.6,6,3
643,0,75,14,1,110,1490,31,207.8,555.2,653,14,425,141.4,0,1,77,24,1065,1050,1080,0.0,0.6,15.6,7.78,0.2,0.6,6.38,22.52,49.2,33.6,4.2,75.8,6,17
644,8,75,14,1,110,1490,31,207.8,555.2,653,14,425,141.4,0,1,77,27,1100,1105,1100,0.0,1.0,17.2,3.06,0.2,0.6,5.18,21.28,45.0,27.4,4.6,75.6,6,14
645,2,77,14,1,110,1490,31,207.8,555.2,653,14,425,141.4,0,1,77,4,1100,1070,1135,0.0,1.0,18.6,3.4,0.8,0.6,5.66,21.68,59.6,31.4,5.0,75.8,6,9
1483,11,64,1,1,25,439,6,85.0,67.2,97,2,73,24.5,0,0,64,13,1095,1125,1065,0.5,1.0,18.0,2.2,0.0,0.5,3.1,18.1,41.5,10.5,5.5,64.0,7,15
1484,0,64,1,1,25,439,6,85.0,67.2,97,2,73,24.5,0,0,64,27,1355,1350,1360,0.33,0.67,12.0,1.47,0.0,0.33,2.07,12.07,27.67,7.0,3.67,64.0,7,1
1485,1,65,1,1,25,439,6,85.0,67.2,97,2,73,24.5,0,0,64,5,1210,1180,1240,0.25,0.5,10.5,1.35,0.25,0.25,1.75,9.8,27.25,6.25,3.0,64.25,7,9
1486,0,64,1,1,25,439,6,85.0,67.2,97,2,73,24.5,0,0,64,19,1285,1220,1350,0.2,0.4,8.4,1.08,0.2,0.2,1.4,7.84,21.8,5.0,2.4,64.2,7,4
1487,0,64,1,1,25,439,6,85.0,67.2,97,2,73,24.5,0,0,64,24,1160,1140,1180,0.2,0.4,8.4,1.08,0.2,0.2,1.4,7.84,21.8,5.0,2.4,64.2,7,4
1488,0,64,1,1,25,439,6,85.0,67.2,97,2,73,24.5,0,0,64,28,1100,1125,1080,0.0,0.0,1.2,0.2,0.2,0.0,0.16,0.6,5.2,0.8,0.2,64.2,7,15
1489,0,64,1,1,25,439,6,85.0,67.2,97,2,73,24.5,0,0,64,20,1065,1050,1080,0.0,0.0,1.2,0.2,0.2,0.0,0.16,0.6,5.2,0.8,0.2,64.2,7,17
1491,1,65,1,1,25,439,6,85.0,67.2,97,2,73,24.5,0,0,64,9,1030,1045,1020,0.0,0.0,-0.2,0.34,0.0,0.0,0.1,0.2,5.4,0.4,0.2,64.2,7,20
1492,0,65,1,1,25,439,6,85.0,67.2,97,2,73,24.5,0,0,64,6,1045,1050,1040,0.0,0.0,-0.2,0.34,0.0,0.0,0.1,0.2,5.4,0.4,0.2,64.4,7,19
1493,1,65,1,1,25,439,6,85.0,67.2,97,2,73,24.5,0,0,64,7,1100,1120,1085,0.0,0.0,0.8,4.78,0.0,0.0,0.68,1.2,8.0,0.8,0.4,64.6,7,16
1494,1,64,1,1,25,439,6,85.0,67.2,97,2,73,24.5,0,0,64,11,1055,1050,1060,0.0,0.0,1.0,4.84,0.0,0.0,0.78,1.2,10.2,2.4,0.6,64.6,7,11
1495,1,64,1,1,25,439,6,85.0,67.2,97,2,73,24.5,0,0,64,16,1100,1130,1075,0.0,0.0,1.2,8.06,0.2,0.0,1.46,2.24,21.2,5.0,0.8,64.6,7,12
1496,0,65,1,1,25,439,6,85.0,67.2,97,2,73,24.5,0,0,64,1,1100,1105,1100,0.0,0.0,1.4,7.72,0.2,0.0,1.36,2.04,15.8,4.6,0.6,64.6,7,14
1497,1,64,1,1,25,439,6,85.0,67.2,97,2,73,24.5,0,0,64,12,1090,1060,1120,0.0,0.0,2.0,7.78,0.2,0.0,1.36,2.04,18.0,4.6,0.8,64.4,7,18
1498,2,64,1,1,25,439,6,85.0,67.2,97,2,73,24.5,0,0,64,14,1105,1050,1160,0.0,0.0,2.2,3.56,0.4,0.0,0.86,1.68,27.4,4.2,1.0,64.2,7,6
