,total_points,total_pointsALL,minutesALL,goals_concededALL,influenceALL,bonusALL,bpsALL,ict_indexALL,clean_sheetsALL,red_cardsALL,yellow_cardsALL,now_costALL,GW,opponent_strength_overall,opponent_strength_attack,AV_bonus_past5,AV_bps_past5,AV_clean_sheets_past5,AV_goals_conceded_past5,AV_ict_index_past5,AV_influence_past5,AV_minutes_past5,AV_penalties_saved_past5,AV_saves_past5,AV_total_points_past5,AV_value_past5,team_strength_rank,opponent_strength_rank
86,6,20,540,5,73.2,0,90,7.3,2,0,0,45,13,1100,1110,0.0,22.0,1.0,0.0,0.5,4.8,90.0,0.0,1.0,6.0,47.0,2,13
87,2,20,540,5,73.2,0,90,7.3,2,0,0,45,4,1220,1210,0.0,16.0,0.5,0.5,0.8,7.8,90.0,0.0,1.0,4.0,48.5,2,7
88,0,20,540,5,73.2,0,90,7.3,2,0,0,45,24,1100,1055,0.0,10.67,0.33,0.33,0.53,5.2,60.0,0.0,0.67,2.67,47.33,2,10
89,3,20,540,5,73.2,0,90,7.3,2,0,0,45,28,1100,1055,0.0,11.25,0.25,0.5,0.82,8.25,67.5,0.0,1.25,2.75,46.75,2,13
90,0,20,540,5,73.2,0,90,7.3,2,0,0,45,21,1100,1120,0.0,9.0,0.2,0.4,0.66,6.6,54.0,0.0,1.0,2.2,46.6,2,16
91,0,20,540,5,73.2,0,90,7.3,2,0,0,45,19,1145,1140,0.0,4.6,0.0,0.4,0.56,5.64,36.0,0.0,0.8,1.0,46.4,2,10
92,0,20,540,5,73.2,0,90,7.3,2,0,0,45,6,1230,1150,0.0,2.6,0.0,0.2,0.34,3.48,18.0,0.0,0.6,0.6,46.4,2,5
93,0,20,540,5,73.2,0,90,7.3,2,0,0,45,15,1055,1020,0.0,2.6,0.0,0.2,0.34,3.48,18.0,0.0,0.6,0.6,46.8,2,18
94,1,20,540,5,73.2,0,90,7.3,2,0,0,45,3,1175,1180,0.0,2.0,0.0,0.4,0.24,2.44,18.0,0.0,0.2,0.2,47.8,2,11
95,0,20,540,5,73.2,0,90,7.3,2,0,0,45,9,1125,1080,0.0,2.0,0.0,0.4,0.24,2.44,18.0,0.0,0.2,0.2,48.2,2,8
96,0,20,540,5,73.2,0,90,7.3,2,0,0,45,8,1365,1360,0.0,2.0,0.0,0.4,0.24,2.44,18.0,0.0,0.2,0.2,48.8,2,1
97,0,20,540,5,73.2,0,90,7.3,2,0,0,45,26,1280,1210,0.0,2.0,0.0,0.4,0.24,2.44,18.0,0.0,0.2,0.2,47.8,2,6
98,0,20,540,5,73.2,0,90,7.3,2,0,0,45,16,1160,1140,0.0,2.0,0.0,0.4,0.24,2.44,18.0,0.0,0.2,0.2,47.6,2,4
101,6,20,540,5,73.2,0,90,7.3,2,0,0,45,2,1070,1080,0.0,5.0,0.2,0.0,0.3,3.08,18.0,0.0,0.4,1.2,46.4,2,16
102,2,20,540,5,73.2,0,90,7.3,2,0,0,45,1,1100,1125,0.0,7.0,0.2,0.2,0.56,5.6,36.0,0.0,0.6,1.6,47.4,2,17
103,0,20,540,5,73.2,0,90,7.3,2,0,0,45,11,1105,1050,0.0,7.0,0.2,0.2,0.56,5.6,36.0,0.0,0.6,1.6,47.6,2,6
104,0,20,540,5,73.2,0,90,7.3,2,0,0,45,10,1040,1020,0.0,7.0,0.2,0.2,0.56,5.6,36.0,0.0,0.6,1.6,48.0,2,20
105,0,20,540,5,73.2,0,90,7.3,2,0,0,45,25,1045,1050,0.0,7.0,0.2,0.2,0.56,5.6,36.0,0.0,0.6,1.6,48.0,2,19
106,0,20,540,5,73.2,0,90,7.3,2,0,0,45,5,1095,1125,0.0,2.0,0.0,0.2,0.26,2.52,18.0,0.0,0.2,0.4,48.0,2,15
800,2,87,1890,19,476.6,9,443,48.5,7,0,1,57,22,1190,1150,0.0,17.0,0.0,1.0,1.4,13.6,90.0,0.0,2.0,2.0,57.0,3,8
801,3,87,1890,19,476.6,9,443,48.5,7,0,1,57,1,1125,1080,0.0,16.5,0.0,1.0,2.0,19.9,90.0,0.0,3.0,2.5,56.0,3,8
802,0,87,1890,19,476.6,9,443,48.5,7,0,1,57,15,1030,1045,0.0,11.0,0.0,0.67,1.33,13.27,60.0,0.0,2.0,1.67,56.0,3,20
803,2,87,1890,19,476.6,9,443,48.5,7,0,1,57,23,1350,1370,0.0,12.25,0.0,1.25,1.78,17.75,67.5,0.0,2.5,1.75,56.25,3,2
804,4,87,1890,19,476.6,9,443,48.5,7,0,1,57,7,1170,1110,0.2,15.0,0.0,1.4,2.38,23.88,72.0,0.0,3.6,2.2,56.0,3,5
805,0,87,1890,19,476.6,9,443,48.5,7,0,1,57,25,1100,1110,0.2,11.6,0.0,1.2,2.1,21.16,54.0,0.0,3.2,1.8,56.2,3,13
806,1,87,1890,19,476.6,9,443,48.5,7,0,1,57,8,1100,1070,0.2,11.2,0.0,1.4,1.82,18.28,54.0,0.0,2.6,1.4,56.2,3,9
807,6,87,1890,19,476.6,9,443,48.5,7,0,1,57,17,1220,1210,0.2,17.0,0.2,1.4,2.28,22.96,72.0,0.0,3.0,2.6,56.2,3,7
808,0,87,1890,19,476.6,9,443,48.5,7,0,1,57,24,1050,1050,0.2,13.8,0.2,0.8,1.66,16.72,54.0,0.0,2.2,2.2,56.2,3,19
809,3,87,1890,19,476.6,9,443,48.5,7,0,1,57,16,1070,1080,0.0,11.4,0.2,0.6,1.18,11.92,54.0,0.0,1.2,2.0,56.4,3,16
