,total_points,goals_scoredALL,assistsALL,total_pointsALL,minutesALL,goals_concededALL,creativityALL,influenceALL,threatALL,bonusALL,bpsALL,ict_indexALL,red_cardsALL,yellow_cardsALL,now_costALL,GW,opponent_strength_overall,opponent_strength_attack,opponent_strength_defence,AV_assists_past5,AV_bonus_past5,AV_bps_past5,AV_creativity_past5,AV_goals_conceded_past5,AV_goals_scored_past5,AV_ict_index_past5,AV_influence_past5,AV_minutes_past5,AV_threat_past5,AV_total_points_past5,AV_value_past5,team_strength_rank,opponent_strength_rank
115,1,0,0,18,522,17,28.0,51.2,53,0,62,12.7,0,1,50,22,1355,1350,1360,0.0,0.0,1.0,0.8,0.0,0.0,0.25,1.6,15.5,0.0,0.5,50.0,19,1
116,0,0,0,18,522,17,28.0,51.2,53,0,62,12.7,0,1,50,28,1100,1055,1150,0.0,0.0,0.67,0.53,0.0,0.0,0.17,1.07,10.33,0.0,0.33,50.0,19,10
117,1,0,0,18,522,17,28.0,51.2,53,0,62,12.7,0,1,50,25,1365,1370,1360,0.0,0.0,0.5,0.48,0.75,0.0,0.12,0.8,23.25,1.0,0.5,50.0,19,2
118,0,0,0,18,522,17,28.0,51.2,53,0,62,12.7,0,1,50,27,1100,1130,1075,0.0,0.0,0.4,0.38,0.6,0.0,0.1,0.64,18.6,0.8,0.4,50.0,19,12
119,0,0,0,18,522,17,28.0,51.2,53,0,62,12.7,0,1,50,18,1055,1050,1060,0.0,0.0,0.4,0.38,0.6,0.0,0.1,0.64,18.6,0.8,0.4,50.0,19,11
120,1,0,0,18,522,17,28.0,51.2,53,0,62,12.7,0,1,50,12,1350,1370,1330,0.0,0.0,0.6,0.18,0.6,0.0,0.02,0.08,14.4,0.8,0.4,50.0,19,2
121,1,0,0,18,522,17,28.0,51.2,53,0,62,12.7,0,1,50,8,1190,1150,1230,0.0,0.0,1.4,0.44,1.0,0.0,0.16,1.28,20.2,0.8,0.6,50.0,19,8
122,0,0,0,18,522,17,28.0,51.2,53,0,62,12.7,0,1,50,10,1100,1055,1145,0.0,0.0,1.4,0.38,0.4,0.0,0.16,1.28,7.8,0.0,0.4,50.0,19,12
123,1,0,0,18,522,17,28.0,51.2,53,0,62,12.7,0,1,50,16,1100,1070,1135,0.0,0.0,2.2,0.44,0.6,0.0,0.18,1.32,11.8,0.0,0.6,50.0,19,9
124,2,0,0,18,522,17,28.0,51.2,53,0,62,12.7,0,1,50,7,1105,1050,1160,0.0,0.0,2.0,0.6,0.8,0.0,0.22,1.32,25.0,0.4,1.0,50.0,19,6
125,0,0,0,18,522,17,28.0,51.2,53,0,62,12.7,0,1,50,11,1100,1120,1085,0.0,0.0,1.4,0.48,0.8,0.0,0.2,1.24,23.0,0.4,0.8,50.0,19,16
