,id,name,cost,position,home_team,away_team,kickoff_time,is_home,team_x,team_strength_rank,opponent_strength_rank,opponent_strength_overall,opponent_strength_attack,opponent_strength_defence
165,127,Aaron Connolly,45,FWD,Brighton,Arsenal,2024-04-06T16:30:00Z,True,Brighton,9,2,1365,1370,1360
774,530,Aaron Cresswell,42,DEF,Wolves,West Ham,2024-04-06T14:00:00Z,False,West Ham,10,14,1100,1085,1115
132,104,Aaron Hickey,43,DEF,Aston Villa,Brentford,2024-04-06T14:00:00Z,False,Brentford,13,4,1160,1140,1180
15,17,Aaron Ramsdale,45,GKP,Brighton,Arsenal,2024-04-06T16:30:00Z,False,Arsenal,2,9,1100,1070,1135
246,675,Aaron Ramsey,50,MID,Everton,Burnley,2024-04-06T14:00:00Z,False,Burnley,19,15,1095,1125,1065
565,401,Aaron Wan-Bissaka,44,DEF,Man Utd,Liverpool,2024-04-07T14:30:00Z,True,Man Utd,7,3,1370,1350,1390
349,249,Abdoulaye Doucouré,55,MID,Everton,Burnley,2024-04-06T14:00:00Z,True,Everton,15,19,1050,1050,1050
258,190,Abdul Rahman Baba,40,DEF,Sheffield Utd,Chelsea,2024-04-07T16:30:00Z,False,Chelsea,8,20,1030,1045,1020
691,479,Adam Davies,40,GKP,Sheffield Utd,Chelsea,2024-04-07T16:30:00Z,True,Sheffield Utd,20,8,1190,1150,1230
176,138,Adam Lallana,49,MID,Brighton,Arsenal,2024-04-06T16:30:00Z,True,Brighton,9,2,1365,1370,1360
101,84,Adam Smith,44,DEF,Luton,Bournemouth,2024-04-06T14:00:00Z,False,Bournemouth,12,18,1055,1020,1090
190,153,Adam Webster,42,DEF,Brighton,Arsenal,2024-04-06T16:30:00Z,True,Brighton,9,2,1365,1370,1360
340,807,Adam Wharton,50,MID,Crystal Palace,Man City,2024-04-06T11:30:00Z,True,Crystal Palace,16,1,1365,1360,1370
407,662,Adama Traoré,49,MID,Fulham,Newcastle,2024-04-06T14:00:00Z,True,Fulham,11,6,1280,1210,1355
335,720,Ademola Ola-Adebomi,45,FWD,Crystal Palace,Man City,2024-04-06T11:30:00Z,True,Crystal Palace,16,1,1365,1360,1370
472,327,Admiral Muskwe,45,FWD,Luton,Bournemouth,2024-04-06T14:00:00Z,True,Luton,18,12,1100,1130,1075
415,289,Adrián San Miguel del Castillo,39,GKP,Man Utd,Liverpool,2024-04-07T14:30:00Z,False,Liverpool,3,7,1125,1130,1120
495,648,Aidan Francis-Clarke,40,DEF,Luton,Bournemouth,2024-04-06T14:00:00Z,True,Luton,18,12,1100,1130,1075
457,21,Albert Sambi Lokonga,49,MID,Luton,Bournemouth,2024-04-06T14:00:00Z,True,Luton,18,12,1100,1130,1075
548,382,Alejandro Garnacho,49,MID,Man Utd,Liverpool,2024-04-07T14:30:00Z,True,Man Utd,7,3,1370,1350,1390
758,641,Alejo Véliz,54,FWD,Spurs,Nott'm Forest,2024-04-07T17:00:00Z,True,Spurs,5,17,1100,1125,1080
390,278,Aleksandar Mitrović,74,FWD,Fulham,Newcastle,2024-04-06T14:00:00Z,True,Fulham,11,6,1280,1210,1355
378,256,Alex Iwobi,53,MID,Fulham,Newcastle,2024-04-06T14:00:00Z,True,Fulham,11,6,1280,1210,1355
297,718,Alex Matos,45,MID,Sheffield Utd,Chelsea,2024-04-07T16:30:00Z,False,Chelsea,8,20,1030,1045,1020
649,456,Alex Mighten,44,MID,Spurs,Nott'm Forest,2024-04-07T17:00:00Z,False,Nott'm Forest,17,5,1170,1110,1230
617,634,Alex Murphy,39,DEF,Fulham,Newcastle,2024-04-06T14:00:00Z,False,Newcastle,6,11,1055,1050,1060
111,644,Alex Scott,49,MID,Luton,Bournemouth,2024-04-06T14:00:00Z,False,Bournemouth,12,18,1055,1020,1090
537,370,Alex Telles,45,DEF,Man Utd,Liverpool,2024-04-07T14:30:00Z,True,Man Utd,7,3,1370,1350,1390
594,415,Alexander Isak,78,FWD,Fulham,Newcastle,2024-04-06T14:00:00Z,False,Newcastle,6,11,1055,1050,1060
38,32,Alexandre Moreno Lopera,51,DEF,Aston Villa,Brentford,2024-04-06T14:00:00Z,True,Aston Villa,4,13,1100,1055,1150
430,304,Alexis Mac Allister,59,MID,Man Utd,Liverpool,2024-04-07T14:30:00Z,False,Liverpool,3,7,1125,1130,1120
761,740,Alfie Dorrington,40,DEF,Spurs,Nott'm Forest,2024-04-07T17:00:00Z,True,Spurs,5,17,1100,1125,1080
466,321,Alfie Doughty,46,DEF,Luton,Bournemouth,2024-04-06T14:00:00Z,True,Luton,18,12,1100,1130,1075
295,716,Alfie Gilchrist,40,DEF,Sheffield Utd,Chelsea,2024-04-07T16:30:00Z,False,Chelsea,8,20,1030,1045,1020
754,521,Alfie Whiteman,39,GKP,Spurs,Nott'm Forest,2024-04-07T17:00:00Z,True,Spurs,5,17,1100,1125,1080
